Feedback,Please upload your parallel coordinates plot for the books dataset here.,Which book has the highest number of downloads?,Which book has the fewest words in this dataset?,Which are the two books that have the highest polarity values? ,Which book has the 2nd highest number of words but the lowest number of downloads? ,"Which of the following books has fewer than 3,000 difficult words and fewer than 20,000 downloads  and has fewer than 1,000 sentences? ",Please mention any interesting correlations/findings in the books data based on the parallel coordinates chart that you drew. 
CIF,Link to uploaded file omitted,,,,,,"Words, sentences, and difficult words are directly coorelated"
CIF,Link to uploaded file omitted,,,,,,"For most books, there is a negative relationship between the number of difficult words and the number of downloads.  There also appears to be a negative relationship between the number of downloads and polarity."
CIF,Link to uploaded file omitted,,,,,,Not sure if there is any on mine. 
CIF,Link to uploaded file omitted,,,,,,There seems to be a positive relationship between the number of words and the number of difficult words
CIF,Link to uploaded file omitted,,,,,,The sentence and words and difficults words attributes are poisitively correlated
CIF,Link to uploaded file omitted,,,,,,"word and difficult words, difficult words and sentences are positively correlated. "
CIF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,"sentences words and difficult words are all positively correlated, some books with low downlods have relatively high polarity."
CIF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,Books with more words and sentences have higher difficult words. Tthat the number of downloads doesn't get affected but the number of words or difficult words
CIF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,
CIF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,
CIF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,
CIF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Alice's Adventures in Wonderland and Frankenstein; Or, The Modern Prometheus",Adventures of Huckleberry Finn,Metamorphosis,
CIF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,"Sentences and words are positively correlated 
Downloads and popularities are negatively correlated"
CIF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,"sentences, words,  difficult words have positive correlation"
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,The Yellow Wallpaper,"In last question, ""Which of the following books has fewer than 3,000 words"" should be ""Which of the following books has fewer than 3,000 difficult words""."
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,The Yellow Wallpaper,
NF,Link to uploaded file omitted,The Yellow Wallpaper,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,negative correlation
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Metamorphosis,Adventures of Huckleberry Finn,"more sentences, more words"
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Pride and Prejudice,The Yellow Wallpaper,"Sentence, words and difficult words are positively correlated"
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,More difficult words correlates positively with higher polarity
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,
NF,Link to uploaded file omitted,Pride and Prejudice,The Yellow Wallpaper,"Frankenstein; Or, The Modern Prometheus and Pride and Prejudice",Adventures of Huckleberry Finn,Metamorphosis,
